Word,Landmark Index,X Coordinate,Y Coordinate,Z Coordinate
Car Accident ,2,0.822467,0.648057,-0.007017
Car Accident ,3,0.800367,0.581631,-0.012907
Car Accident ,4,0.791180,0.528210,-0.019795
Car Accident ,5,0.821843,0.636929,-0.032436
Car Accident ,6,0.797250,0.560086,-0.050031
Car Accident ,7,0.777952,0.502584,-0.058328
Car Accident ,8,0.761271,0.458906,-0.063431
Car Accident ,9,0.808526,0.667258,-0.040756
Car Accident ,10,0.773499,0.594024,-0.058591
Car Accident ,11,0.741078,0.544887,-0.065229
Car Accident ,12,0.713925,0.510599,-0.069971
Car Accident ,13,0.790940,0.715704,-0.048024
Car Accident ,14,0.735113,0.669137,-0.066232
Car Accident ,15,0.696252,0.635015,-0.074336
Car Accident ,16,0.666090,0.611593,-0.078988
Car Accident ,17,0.772484,0.774012,-0.053901
Car Accident ,18,0.719018,0.742866,-0.070696
Car Accident ,19,0.685411,0.722932,-0.078225
Car Accident ,20,0.657651,0.704732,-0.082545
Car Accident ,0,0.088787,0.928765,0.000000
Car Accident ,1,0.088063,0.838476,-0.013623
Car Accident ,2,0.109258,0.728997,-0.024193
Car Accident ,3,0.126178,0.647603,-0.031069
Car Accident ,4,0.127159,0.583277,-0.037223
Car Accident ,5,0.108491,0.744422,-0.036146
Car Accident ,6,0.133799,0.664837,-0.049593
Car Accident ,7,0.149682,0.609213,-0.055534
Car Accident ,8,0.163582,0.563470,-0.059514
Car Accident ,9,0.131602,0.784488,-0.037404
Car Accident ,10,0.180897,0.723116,-0.050170
Car Accident ,11,0.216370,0.683377,-0.056322
Car Accident ,12,0.246271,0.653191,-0.061070
Car Accident ,13,0.152155,0.831790,-0.037849
Car Accident ,14,0.205714,0.774112,-0.050614
Car Accident ,15,0.242668,0.737906,-0.057022
Car Accident ,16,0.271822,0.710714,-0.061318
Car Accident ,17,0.169939,0.878082,-0.037968
Car Accident ,18,0.212571,0.841190,-0.046497
Car Accident ,19,0.241616,0.820027,-0.048349
Car Accident ,20,0.268275,0.801436,-0.049586
Car Accident ,0,0.851864,0.791138,0.000000
Car Accident ,1,0.846494,0.683309,0.007277
Car Accident ,2,0.822003,0.587316,0.003814
Car Accident ,3,0.810939,0.514722,-0.000845
Car Accident ,4,0.817695,0.453577,-0.007472
Car Accident ,5,0.817422,0.563649,-0.020440
Car Accident ,6,0.794733,0.484555,-0.033954
Car Accident ,7,0.774666,0.426774,-0.042451
Car Accident ,8,0.755900,0.382282,-0.048460
Car Accident ,9,0.799800,0.596553,-0.031477
Car Accident ,10,0.759516,0.521014,-0.043273
Car Accident ,11,0.728314,0.471640,-0.050641
Car Accident ,12,0.699890,0.432886,-0.056828
Car Accident ,13,0.779614,0.643407,-0.040351
Car Accident ,14,0.730336,0.585035,-0.051217
Car Accident ,15,0.694387,0.545212,-0.059155
Car Accident ,16,0.664602,0.515224,-0.065334
Car Accident ,17,0.761228,0.701541,-0.047438
Car Accident ,18,0.712558,0.672265,-0.057874
Car Accident ,19,0.681457,0.654038,-0.062803
Car Accident ,20,0.653400,0.635700,-0.065804
Car Accident ,0,0.089673,0.880315,0.000001
Car Accident ,1,0.088014,0.774673,-0.012457
Car Accident ,2,0.109783,0.664634,-0.023875
Car Accident ,3,0.126140,0.580004,-0.031092
Car Accident ,4,0.119687,0.515753,-0.038851
Car Accident ,5,0.113394,0.669231,-0.042349
Car Accident ,6,0.144435,0.597576,-0.057630
Car Accident ,7,0.170599,0.551677,-0.067561
Car Accident ,8,0.194992,0.511386,-0.074837
Car Accident ,9,0.138103,0.714682,-0.044550
Car Accident ,10,0.195970,0.655731,-0.057509
Car Accident ,11,0.238954,0.619898,-0.066007
Car Accident ,12,0.274254,0.592513,-0.073777
Car Accident ,13,0.161097,0.768798,-0.045063
Car Accident ,14,0.216698,0.711841,-0.058453
Car Accident ,15,0.259243,0.678465,-0.065022
Car Accident ,16,0.292615,0.654406,-0.070097
Car Accident ,17,0.179291,0.821444,-0.045055
Car Accident ,18,0.226314,0.774823,-0.055532
Car Accident ,19,0.257620,0.751570,-0.057348
Car Accident ,20,0.285150,0.734118,-0.058732
Car Accident ,0,0.841049,0.744457,0.000000
Car Accident ,1,0.838016,0.644620,0.015057
Car Accident ,2,0.819993,0.551274,0.017612
Car Accident ,3,0.809225,0.484227,0.018682
Car Accident ,4,0.817625,0.429042,0.017580
Car Accident ,5,0.809443,0.513881,-0.016891
Car Accident ,6,0.783632,0.426852,-0.029447
Car Accident ,7,0.763733,0.368869,-0.035243
Car Accident ,8,0.747883,0.324407,-0.038729
Car Accident ,9,0.795128,0.548251,-0.028673
Car Accident ,10,0.749589,0.465972,-0.040821
Car Accident ,11,0.717792,0.421829,-0.044773
Car Accident ,12,0.690866,0.388954,-0.047487
Car Accident ,13,0.777689,0.595016,-0.037667
Car Accident ,14,0.720495,0.532840,-0.048812
Car Accident ,15,0.684430,0.498171,-0.054391
Car Accident ,16,0.655680,0.468115,-0.058201
Car Accident ,17,0.760213,0.650717,-0.043986
Car Accident ,18,0.708243,0.623830,-0.057024
Car Accident ,19,0.676599,0.610513,-0.063227
Car Accident ,20,0.649483,0.591954,-0.066155
Car Accident ,0,0.095281,0.836061,0.000001
Car Accident ,1,0.093819,0.727164,-0.008256
Car Accident ,2,0.114322,0.622844,-0.017436
Car Accident ,3,0.129957,0.539157,-0.023524
Car Accident ,4,0.120849,0.480552,-0.030139
Car Accident ,5,0.120369,0.627694,-0.036181
Car Accident ,6,0.151811,0.543650,-0.050965
Car Accident ,7,0.177363,0.492709,-0.059115
Car Accident ,8,0.200862,0.451230,-0.064781
Car Accident ,9,0.146461,0.667792,-0.040388
Car Accident ,10,0.198187,0.594058,-0.054153
Car Accident ,11,0.236981,0.551933,-0.061810
Car Accident ,12,0.268520,0.521396,-0.068252
Car Accident ,13,0.169607,0.716390,-0.043243
Car Accident ,14,0.225884,0.657450,-0.057757
Car Accident ,15,0.266611,0.622617,-0.065563
Car Accident ,16,0.297945,0.596104,-0.070897
Car Accident ,17,0.187384,0.764816,-0.045310
Car Accident ,18,0.233924,0.719454,-0.057581
Car Accident ,19,0.264747,0.697430,-0.061934
Car Accident ,20,0.291093,0.677768,-0.064822
Car Accident ,0,0.834077,0.709856,0.000000
Car Accident ,1,0.833913,0.614170,0.014056
Car Accident ,2,0.818099,0.526914,0.015413
Car Accident ,3,0.810429,0.463066,0.015028
Car Accident ,4,0.819492,0.414223,0.012689
Car Accident ,5,0.805703,0.486380,-0.019135
Car Accident ,6,0.776991,0.392782,-0.032590
Car Accident ,7,0.756002,0.335836,-0.038221
Car Accident ,8,0.739289,0.291708,-0.041483
Car Accident ,9,0.789347,0.517674,-0.030932
Car Accident ,10,0.741509,0.430353,-0.044511
Car Accident ,11,0.707555,0.384579,-0.048219
Car Accident ,12,0.679029,0.349515,-0.050345
Car Accident ,13,0.771356,0.561672,-0.039974
Car Accident ,14,0.714559,0.503982,-0.051184
Car Accident ,15,0.679464,0.470757,-0.055781
Car Accident ,16,0.652421,0.442958,-0.058724
Car Accident ,17,0.754782,0.614236,-0.046725
Car Accident ,18,0.704087,0.591566,-0.058610
Car Accident ,19,0.673721,0.578998,-0.063976
Car Accident ,20,0.648952,0.562533,-0.066440
Car Accident ,0,0.103610,0.791620,0.000001
Car Accident ,1,0.098843,0.689741,-0.005656
Car Accident ,2,0.116904,0.589105,-0.014248
Car Accident ,3,0.130753,0.507723,-0.020579
Car Accident ,4,0.119658,0.451659,-0.027870
Car Accident ,5,0.128915,0.585493,-0.035545
Car Accident ,6,0.163527,0.495800,-0.051385
Car Accident ,7,0.189498,0.442994,-0.059460
Car Accident ,8,0.212306,0.402389,-0.064578
Car Accident ,9,0.153192,0.625346,-0.041365
Car Accident ,10,0.208528,0.550622,-0.056225
Car Accident ,11,0.246876,0.507745,-0.063381
Car Accident ,12,0.276779,0.476910,-0.068911
Car Accident ,13,0.174176,0.674283,-0.045795
Car Accident ,14,0.234040,0.614539,-0.061157
Car Accident ,15,0.274274,0.579574,-0.068769
Car Accident ,16,0.304845,0.552459,-0.073695
Car Accident ,17,0.190273,0.723632,-0.049212
Car Accident ,18,0.239440,0.681669,-0.062359
Car Accident ,19,0.270641,0.660502,-0.066732
Car Accident ,20,0.296611,0.640902,-0.069356
Car Accident ,0,0.831593,0.688819,0.000000
Car Accident ,1,0.830959,0.597658,0.013145
Car Accident ,2,0.816501,0.513719,0.014689
Car Accident ,3,0.808556,0.453027,0.015294
Car Accident ,4,0.818151,0.406643,0.014206
Car Accident ,5,0.802648,0.465085,-0.020560
Car Accident ,6,0.772952,0.370977,-0.034242
Car Accident ,7,0.751229,0.313146,-0.040106
Car Accident ,8,0.734208,0.269095,-0.043489
Car Accident ,9,0.786546,0.495716,-0.031160
Car Accident ,10,0.737444,0.408002,-0.044002
Car Accident ,11,0.702414,0.363938,-0.047173
Car Accident ,12,0.673224,0.332887,-0.049237
Car Accident ,13,0.768132,0.539041,-0.039046
Car Accident ,14,0.709792,0.479381,-0.049682
Car Accident ,15,0.674901,0.448291,-0.053866
Car Accident ,16,0.649102,0.423855,-0.056773
Car Accident ,17,0.750222,0.591009,-0.044689
Car Accident ,18,0.698767,0.567593,-0.056839
Car Accident ,19,0.669615,0.555936,-0.062398
Car Accident ,20,0.646952,0.540941,-0.065009
Car Accident ,0,0.109910,0.762470,0.000000
Car Accident ,1,0.102824,0.664496,-0.002270
Car Accident ,2,0.120534,0.566299,-0.009218
Car Accident ,3,0.134027,0.487700,-0.014359
Car Accident ,4,0.121859,0.437433,-0.021105
Car Accident ,5,0.140562,0.552469,-0.033297
Car Accident ,6,0.176278,0.458333,-0.047225
Car Accident ,7,0.201241,0.404212,-0.053758
Car Accident ,8,0.223004,0.364586,-0.057800
Car Accident ,9,0.164702,0.591365,-0.040135
Car Accident ,10,0.222683,0.514687,-0.051677
Car Accident ,11,0.259282,0.473845,-0.056669
Car Accident ,12,0.287489,0.445513,-0.060977
Car Accident ,13,0.184670,0.641318,-0.045234
Car Accident ,14,0.245479,0.581315,-0.057515
Car Accident ,15,0.284318,0.548365,-0.063821
Car Accident ,16,0.314381,0.523928,-0.068624
Car Accident ,17,0.199737,0.693069,-0.049101
Car Accident ,18,0.247059,0.650797,-0.060597
Car Accident ,19,0.276153,0.631108,-0.063736
Car Accident ,20,0.300445,0.613392,-0.065730
Car Accident ,0,0.828495,0.673860,0.000000
Car Accident ,1,0.829621,0.581282,0.016104
Car Accident ,2,0.814962,0.501647,0.019392
Car Accident ,3,0.806680,0.443790,0.021349
Car Accident ,4,0.817347,0.399727,0.021426
Car Accident ,5,0.799202,0.451862,-0.017745
Car Accident ,6,0.768207,0.358346,-0.030478
Car Accident ,7,0.745488,0.300592,-0.035118
Car Accident ,8,0.727928,0.258099,-0.037542
Car Accident ,9,0.782793,0.481640,-0.029029
Car Accident ,10,0.733130,0.392347,-0.041856
Car Accident ,11,0.697215,0.347807,-0.044083
Car Accident ,12,0.667711,0.317552,-0.044883
Car Accident ,13,0.764724,0.524269,-0.037322
Car Accident ,14,0.706350,0.464113,-0.047963
Car Accident ,15,0.671346,0.433365,-0.051583
Car Accident ,16,0.645807,0.408906,-0.053633
Car Accident ,17,0.747417,0.576420,-0.043052
Car Accident ,18,0.696587,0.553861,-0.055505
Car Accident ,19,0.667426,0.543778,-0.060881
Car Accident ,20,0.644931,0.529882,-0.062936
Car Accident ,0,0.115519,0.744377,0.000000
Car Accident ,1,0.106680,0.648587,-0.001002
Car Accident ,2,0.124809,0.550041,-0.007131
Car Accident ,3,0.138325,0.471703,-0.011545
Car Accident ,4,0.126147,0.420038,-0.017588
Car Accident ,5,0.145017,0.532310,-0.034930
Car Accident ,6,0.183080,0.434982,-0.050059
Car Accident ,7,0.210067,0.379709,-0.057387
Car Accident ,8,0.233438,0.340723,-0.061736
Car Accident ,9,0.168973,0.572321,-0.042219
Car Accident ,10,0.229453,0.492226,-0.054389
Car Accident ,11,0.268079,0.449548,-0.059601
Car Accident ,12,0.297904,0.420177,-0.064108
Car Accident ,13,0.188794,0.622267,-0.047539
Car Accident ,14,0.251103,0.561007,-0.060047
Car Accident ,15,0.290413,0.528165,-0.066364
Car Accident ,16,0.319917,0.504645,-0.071236
Car Accident ,17,0.203404,0.672474,-0.051561
Car Accident ,18,0.251423,0.631963,-0.063031
Car Accident ,19,0.280192,0.613497,-0.066265
Car Accident ,20,0.303567,0.596400,-0.068355
Car Accident ,0,0.824342,0.664056,0.000000
Car Accident ,1,0.827265,0.571430,0.016646
Car Accident ,2,0.813408,0.494381,0.020699
Car Accident ,3,0.806180,0.436849,0.022940
Car Accident ,4,0.816462,0.393961,0.023246
Car Accident ,5,0.793934,0.439619,-0.013631
Car Accident ,6,0.763171,0.349416,-0.024800
Car Accident ,7,0.740513,0.293146,-0.028662
Car Accident ,8,0.722394,0.252347,-0.030653
Car Accident ,9,0.776865,0.468748,-0.025267
Car Accident ,10,0.727705,0.383832,-0.036693
Car Accident ,11,0.692660,0.340634,-0.038486
Car Accident ,12,0.664087,0.311274,-0.038943
Car Accident ,13,0.759213,0.512185,-0.034090
Car Accident ,14,0.701725,0.454420,-0.044113
Car Accident ,15,0.666600,0.426145,-0.047303
Car Accident ,16,0.640912,0.403167,-0.048911
Car Accident ,17,0.743149,0.565966,-0.040397
Car Accident ,18,0.692937,0.544470,-0.052437
Car Accident ,19,0.663828,0.535218,-0.057197
Car Accident ,20,0.641282,0.521440,-0.058628
Car Accident ,0,0.121140,0.727357,0.000000
Car Accident ,1,0.112107,0.632588,0.001710
Car Accident ,2,0.129364,0.536247,-0.002752
Car Accident ,3,0.143192,0.460110,-0.005909
Car Accident ,4,0.132174,0.409641,-0.010462
Car Accident ,5,0.152510,0.513083,-0.032254
Car Accident ,6,0.191488,0.415434,-0.046320
Car Accident ,7,0.219196,0.360887,-0.052446
Car Accident ,8,0.242515,0.323607,-0.055794
Car Accident ,9,0.175815,0.552754,-0.039956
Car Accident ,10,0.237123,0.472276,-0.051876
Car Accident ,11,0.275846,0.430032,-0.056046
Car Accident ,12,0.305087,0.402575,-0.059414
Car Accident ,13,0.194898,0.602190,-0.045476
Car Accident ,14,0.257324,0.542570,-0.057155
Car Accident ,15,0.295615,0.509913,-0.062668
Car Accident ,16,0.323626,0.487794,-0.066817
Car Accident ,17,0.208686,0.652737,-0.049532
Car Accident ,18,0.255536,0.616828,-0.060100
Car Accident ,19,0.283555,0.598918,-0.063075
Car Accident ,20,0.306118,0.582673,-0.064809
Car Accident ,0,0.817717,0.650859,0.000000
Car Accident ,1,0.821253,0.559182,0.016417
Car Accident ,2,0.809725,0.484200,0.019474
Car Accident ,3,0.804106,0.428741,0.020472
Car Accident ,4,0.815227,0.389319,0.019159
Car Accident ,5,0.789479,0.435099,-0.015600
Car Accident ,6,0.757333,0.344199,-0.026994
Car Accident ,7,0.734547,0.288273,-0.031031
Car Accident ,8,0.716535,0.248145,-0.033074
Car Accident ,9,0.772784,0.464727,-0.027604
Car Accident ,10,0.722301,0.380009,-0.038601
Car Accident ,11,0.687008,0.336152,-0.040539
Car Accident ,12,0.658889,0.307686,-0.041505
Car Accident ,13,0.755331,0.507828,-0.036702
Car Accident ,14,0.696827,0.448881,-0.046062
Car Accident ,15,0.662167,0.420103,-0.049337
Car Accident ,16,0.637220,0.398318,-0.051400
Car Accident ,17,0.739052,0.560360,-0.043332
Car Accident ,18,0.688276,0.537381,-0.054581
Car Accident ,19,0.659203,0.527601,-0.058978
Car Accident ,20,0.637004,0.514477,-0.060455
Car Accident ,0,0.126319,0.715064,0.000000
Car Accident ,1,0.118078,0.618857,0.002994
Car Accident ,2,0.135334,0.520951,0.000354
Car Accident ,3,0.149142,0.446962,-0.000866
Car Accident ,4,0.136509,0.399594,-0.003017
Car Accident ,5,0.157674,0.500027,-0.030898
Car Accident ,6,0.197378,0.402489,-0.044355
Car Accident ,7,0.225897,0.349030,-0.049756
Car Accident ,8,0.249764,0.312556,-0.052488
Car Accident ,9,0.180240,0.541627,-0.038491
Car Accident ,10,0.242060,0.461587,-0.050191
Car Accident ,11,0.281918,0.419104,-0.054063
Car Accident ,12,0.312217,0.391888,-0.057064
Car Accident ,13,0.199090,0.591132,-0.043823
Car Accident ,14,0.262324,0.533749,-0.055736
Car Accident ,15,0.301388,0.501772,-0.061587
Car Accident ,16,0.330676,0.480262,-0.065660
Car Accident ,17,0.212993,0.640767,-0.047513
Car Accident ,18,0.259949,0.606889,-0.058628
Car Accident ,19,0.287906,0.589735,-0.062226
Car Accident ,20,0.311200,0.573944,-0.064217
Car Accident ,0,0.812401,0.646566,0.000000
Car Accident ,1,0.817616,0.556862,0.016834
Car Accident ,2,0.805970,0.481870,0.020237
Car Accident ,3,0.799835,0.426412,0.021322
Car Accident ,4,0.812902,0.387342,0.020032
Car Accident ,5,0.783544,0.431643,-0.014334
Car Accident ,6,0.751599,0.340206,-0.024716
Car Accident ,7,0.728076,0.284428,-0.027924
Car Accident ,8,0.709178,0.245368,-0.029565
Car Accident ,9,0.766369,0.460769,-0.026076
Car Accident ,10,0.717149,0.377463,-0.036878
Car Accident ,11,0.682174,0.333979,-0.038255
Car Accident ,12,0.653840,0.306882,-0.038646
Car Accident ,13,0.749197,0.503617,-0.034812
Car Accident ,14,0.692023,0.446839,-0.043808
Car Accident ,15,0.657584,0.418183,-0.046441
Car Accident ,16,0.632211,0.397831,-0.047881
Car Accident ,17,0.733649,0.556192,-0.041054
Car Accident ,18,0.684633,0.532948,-0.051887
Car Accident ,19,0.655371,0.522659,-0.055899
Car Accident ,20,0.632578,0.509735,-0.056944
Car Accident ,0,0.131071,0.710365,0.000000
Car Accident ,1,0.124100,0.612634,0.001798
Car Accident ,2,0.141751,0.514210,-0.001024
Car Accident ,3,0.154633,0.441039,-0.002331
Car Accident ,4,0.141204,0.394234,-0.004654
Car Accident ,5,0.164659,0.492035,-0.029807
Car Accident ,6,0.204094,0.397766,-0.043344
Car Accident ,7,0.232583,0.345392,-0.049672
Car Accident ,8,0.256977,0.308615,-0.053037
Car Accident ,9,0.187790,0.535637,-0.036678
Car Accident ,10,0.249530,0.456963,-0.046570
Car Accident ,11,0.289627,0.415410,-0.051019
Car Accident ,12,0.320285,0.388023,-0.054964
Car Accident ,13,0.206647,0.585471,-0.041505
Car Accident ,14,0.269055,0.528224,-0.052244
Car Accident ,15,0.307840,0.496777,-0.058745
Car Accident ,16,0.337317,0.474709,-0.063599
Car Accident ,17,0.220295,0.633059,-0.044820
Car Accident ,18,0.266542,0.598049,-0.054824
Car Accident ,19,0.293540,0.582492,-0.058090
Car Accident ,20,0.315790,0.567947,-0.060104
Car Accident ,0,0.805399,0.647347,0.000000
Car Accident ,1,0.813631,0.558211,0.015574
Car Accident ,2,0.802398,0.483629,0.018902
Car Accident ,3,0.796717,0.428227,0.019857
Car Accident ,4,0.808739,0.387505,0.018705
Car Accident ,5,0.777277,0.431174,-0.012732
Car Accident ,6,0.745770,0.341767,-0.022032
Car Accident ,7,0.722221,0.286904,-0.024587
Car Accident ,8,0.702710,0.248514,-0.025943
Car Accident ,9,0.758159,0.459130,-0.024098
Car Accident ,10,0.709945,0.376855,-0.034428
Car Accident ,11,0.675189,0.333942,-0.035653
Car Accident ,12,0.646922,0.307306,-0.035713
Car Accident ,13,0.739992,0.502140,-0.032618
Car Accident ,14,0.684693,0.447772,-0.040927
Car Accident ,15,0.650600,0.419340,-0.042974
Car Accident ,16,0.625528,0.398501,-0.043946
Car Accident ,17,0.724440,0.555350,-0.038900
Car Accident ,18,0.677525,0.535132,-0.048427
Car Accident ,19,0.648855,0.524667,-0.051303
Car Accident ,20,0.626790,0.512297,-0.051537
Car Accident ,0,0.137819,0.710138,0.000000
Car Accident ,1,0.130486,0.611641,0.001124
Car Accident ,2,0.148185,0.512718,-0.001814
Car Accident ,3,0.161122,0.439805,-0.003354
Car Accident ,4,0.148524,0.391981,-0.005622
Car Accident ,5,0.172361,0.489871,-0.027983
Car Accident ,6,0.211744,0.397775,-0.042024
Car Accident ,7,0.240633,0.345865,-0.049139
Car Accident ,8,0.265708,0.309501,-0.053028
Car Accident ,9,0.194616,0.533625,-0.034738
Car Accident ,10,0.256196,0.457528,-0.044761
Car Accident ,11,0.296453,0.417613,-0.049504
Car Accident ,12,0.327842,0.390938,-0.053709
Car Accident ,13,0.212973,0.583584,-0.039786
Car Accident ,14,0.274580,0.527858,-0.050017
Car Accident ,15,0.313002,0.498464,-0.055696
Car Accident ,16,0.342519,0.477795,-0.060040
Car Accident ,17,0.226561,0.631282,-0.043628
Car Accident ,18,0.272629,0.595254,-0.052773
Car Accident ,19,0.299214,0.579540,-0.055352
Car Accident ,20,0.321288,0.565086,-0.056966
Car Accident ,0,0.798135,0.647551,0.000000
Car Accident ,1,0.807612,0.558425,0.014617
Car Accident ,2,0.797002,0.483211,0.017696
Car Accident ,3,0.791820,0.428063,0.018567
Car Accident ,4,0.804687,0.388541,0.017375
Car Accident ,5,0.771483,0.432575,-0.013756
Car Accident ,6,0.739020,0.344116,-0.023179
Car Accident ,7,0.714508,0.290711,-0.025715
Car Accident ,8,0.694201,0.253284,-0.027122
Car Accident ,9,0.752065,0.461619,-0.024887
Car Accident ,10,0.702955,0.379282,-0.035593
Car Accident ,11,0.667670,0.337015,-0.037002
Car Accident ,12,0.639036,0.310792,-0.037085
Car Accident ,13,0.733766,0.505464,-0.033186
Car Accident ,14,0.678113,0.451730,-0.041636
Car Accident ,15,0.643493,0.423973,-0.043675
Car Accident ,16,0.617845,0.403411,-0.044593
Car Accident ,17,0.718014,0.559358,-0.039339
Car Accident ,18,0.671609,0.540110,-0.048727
Car Accident ,19,0.643124,0.529682,-0.051447
Car Accident ,20,0.621260,0.517361,-0.051602
Car Accident ,0,0.146074,0.706535,0.000000
Car Accident ,1,0.139786,0.608883,0.001945
Car Accident ,2,0.156246,0.511214,-0.000587
Car Accident ,3,0.167401,0.439903,-0.001709
Car Accident ,4,0.155077,0.391757,-0.003424
Car Accident ,5,0.179647,0.488195,-0.027568
Car Accident ,6,0.219037,0.396721,-0.041450
Car Accident ,7,0.248063,0.344756,-0.048352
Car Accident ,8,0.273062,0.308611,-0.051983
Car Accident ,9,0.201817,0.532815,-0.034164
Car Accident ,10,0.264170,0.456413,-0.043715
Car Accident ,11,0.304927,0.417881,-0.047885
Car Accident ,12,0.336387,0.392388,-0.051702
Car Accident ,13,0.220479,0.583187,-0.038915
Car Accident ,14,0.282265,0.526796,-0.048260
Car Accident ,15,0.319988,0.497733,-0.052906
Car Accident ,16,0.348716,0.477307,-0.056634
Car Accident ,17,0.234682,0.630762,-0.042404
Car Accident ,18,0.279911,0.594704,-0.050447
Car Accident ,19,0.305536,0.578992,-0.052104
Car Accident ,20,0.326656,0.564507,-0.053138
Car Accident ,0,0.789508,0.649792,0.000000
Car Accident ,1,0.801461,0.563707,0.010784
Car Accident ,2,0.791001,0.485736,0.012300
Car Accident ,3,0.785246,0.428559,0.012155
Car Accident ,4,0.799065,0.390399,0.010077
Car Accident ,5,0.764080,0.437367,-0.016968
Car Accident ,6,0.730449,0.348761,-0.026559
Car Accident ,7,0.705084,0.297141,-0.029357
Car Accident ,8,0.684009,0.260799,-0.031149
Car Accident ,9,0.743285,0.468200,-0.026836
Car Accident ,10,0.695315,0.385017,-0.037544
Car Accident ,11,0.659800,0.343113,-0.039261
Car Accident ,12,0.631148,0.317290,-0.039721
Car Accident ,13,0.724072,0.513157,-0.034155
Car Accident ,14,0.669922,0.460281,-0.042364
Car Accident ,15,0.635163,0.431767,-0.044825
Car Accident ,16,0.609403,0.410844,-0.046349
Car Accident ,17,0.707708,0.566679,-0.039759
Car Accident ,18,0.662800,0.548175,-0.049092
Car Accident ,19,0.634609,0.537145,-0.052170
Car Accident ,20,0.612790,0.524546,-0.052867
Car Accident ,0,0.157315,0.707752,0.000000
Car Accident ,1,0.152549,0.609277,0.000933
Car Accident ,2,0.167302,0.510219,-0.001241
Car Accident ,3,0.174983,0.438953,-0.001931
Car Accident ,4,0.159777,0.395792,-0.003174
Car Accident ,5,0.189374,0.489477,-0.025028
Car Accident ,6,0.227252,0.400282,-0.037932
Car Accident ,7,0.256251,0.347598,-0.044655
Car Accident ,8,0.281086,0.310944,-0.048390
Car Accident ,9,0.213182,0.534607,-0.030936
Car Accident ,10,0.274647,0.459483,-0.038976
Car Accident ,11,0.314627,0.422036,-0.042831
Car Accident ,12,0.345624,0.396332,-0.046585
Car Accident ,13,0.233180,0.585794,-0.035228
